Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0805,4,0.1uF,C1525
C5,0805,1,22uF,C59461
C6,0805,1,10uF,C19702
"J1, J10, J11, J12, J2, J3, J4, J5, J6, J7, J8, J9",TestPoint_Pad_D2.0mm,12,Conn_01x01,
"J13, J15",PinHeader_2x03_P2.54mm_Vertical,2,Conn_02x03_Counter_Clockwise,
J14,USB-C-YTC-TC16S-23,1,USB_C_Receptacle_USB2.0_MPN,C393939
"R1, R2",0805,2,5.1k,C25905
R3,0805,1,1k,C11702
R4,0805,1,9.1k,
R5,0805,1,4.7k,C105871
"R6, R7, R8",0805,3,0,
U1,SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,CP2102N-Axx-xQFN20,C1550542
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C94058
